Package	Version
plotly	4.12.0
Formula	1.2-6
maps	3.4.3
zlibbioc	1.52.0
tidyselect	1.2.1
bit	4.6.0
doParallel	1.0.17
clue	0.3-68
rjson	0.2.23
blob	1.3.0
S4Arrays	1.6.0
import	1.3.4
pbkrtest	0.5.5
dichromat	2.0-1
png	0.1-9
ggplotify	0.1.3
cli	3.6.6
ProtGenerics	1.38.0
MultiAssayExperiment	1.32.0
textshaping	1.0.5
purrr	1.2.2
curl	7.1.0
tidytree	0.4.7
mime	0.13
evaluate	1.0.5
stringi	1.8.7
backports	1.5.1
XML	3.99-0.23
httpuv	1.6.17
rappdirs	0.3.4
leaps	3.2
prodlim	2026.03.11
pcaPP	2.0-5
DT	0.34.0
sessioninfo	1.2.4
DBI	1.3.0
jquerylib	0.1.4
withr	3.0.3
corpcor	1.6.10
reformulas	0.4.4
class	7.3-23
systemfonts	1.3.2
enrichplot	1.26.6
rprojroot	2.1.1
formatR	1.14
FactoMineR	2.14
htmlwidgets	1.6.4
fANCOVA	0.6-1
SparseArray	1.6.2
cellranger	1.1.0
DEoptimR	1.2-0
flashClust	1.1-4
annotate	1.84.0
XVector	0.46.0
knitr	1.51
UCSC.utils	1.2.0
RhpcBLASctl	0.23-42
timechange	0.4.0
caTools	1.18.3
ggtree	3.14.0
data.table	1.18.2.1
timeDate	4052.112
pan	1.9
R.oo	1.27.1
gridGraphics	0.5-1
ellipsis	0.3.2
lazyeval	0.2.3
crayon	1.5.3
tweenr	2.0.3
later	1.4.8
codetools	0.2-20
base64enc	0.1-6
GlobalOptions	0.1.4
aod	1.3.3
KEGGREST	1.46.0
shape	1.4.6.1
estimability	2.0.0
QFeatures	1.16.0
pkgconfig	2.0.3
xml2	1.5.2
EnvStats	3.1.0
aplot	0.3.0
scatterplot3d	0.3-45
ape	5.8-1
xtable	1.8-8
httr	1.4.8
rbibutils	2.4.1
tools	4.4.3
globals	0.19.1
hardhat	1.4.3
pkgbuild	1.4.8
mzID	1.44.0
beeswarm	0.4.0
affy	1.84.0
lambda.r	1.2.4
assertthat	0.2.1
digest	0.6.39
numDeriv	2016.8-1.1
PSMatch	1.10.0
lavaSearch2	2.0.3
farver	2.1.2
tzdb	0.5.0
AnnotationFilter	1.30.0
remaCor	0.0.20
yulab.utils	0.2.4
ModelMetrics	1.2.2.2
rpart	4.1.27
glue	1.8.0
cachem	1.1.0
polyclip	1.10-7
generics	0.1.4
Biostrings	2.74.1
classInt	0.4-11
parallelly	1.47.0
pkgload	1.5.3
mnormt	2.1.2
statmod	1.5.1
ggtext	0.1.2
pbapply	1.7-4
minqa	1.2.8
gson	0.1.0
gower	1.0.2
shinyFiles	0.9.3
gtools	3.9.5
preprocessCore	1.68.0
ggsignif	0.6.4
affyio	1.76.0
gridExtra	2.3.1
shiny	1.14.0
lava	1.9.1
GenomeInfoDbData	1.2.13
R.utils	2.13.0
memoise	2.0.1
MSnbase	2.32.0
rmarkdown	2.31
R.methodsS3	1.8.2
future	1.70.0
rstudioapi	0.19.0
hms	1.1.4
rlang	1.2.0
jomo	2.7-6
ipred	0.9-15
dotCall64	1.2
shinydashboard	0.7.3
ggtangle	0.1.2
xfun	0.56
multcompView	0.1-11
e1071	1.7-17
coda	0.19-4.1
TH.data	1.1-5
remotes	2.5.0
recipes	1.3.2
emmeans	2.0.4
abind	1.4-8
GOSemSim	2.32.0
tibble	3.3.1
treeio	1.30.0
randomizr	1.0.1
futile.options	1.0.1
bitops	1.0-9
Rdpack	2.6.6
promises	1.5.0
MALDIquant	1.22.3
qvalue	2.38.0
RSQLite	2.4.6
fgsea	1.32.4
DelayedArray	0.32.0
GO.db	3.20.0
compiler	4.4.3
distributional	0.8.1
writexl	1.5.4
listenv	1.0.0
vsn	3.74.0
Rcpp	1.1.1
edgeR	4.4.2
units	1.0-1
gridtext	0.1.6
R6	2.6.1
fastmatch	1.1-8
fastmap	1.2.0
multcomp	1.4-30
rstatix	0.7.3
vipor	0.4.7
ggstats	0.13.0
mitml	0.4-5
gtable	0.3.6
shinyAce	0.4.4
KernSmooth	2.23-26
mzR	2.40.0
htmltools	0.5.9
bit64	4.8.0
lifecycle	1.0.5
S7	0.2.2
zip	2.3.3
nloptr	2.2.1
sass	0.4.10
vctrs	0.7.3
ncdf4	1.24
DOSE	4.0.1
ggfun	0.2.0
future.apply	1.20.2
bslib	0.12.0
pillar	1.11.1
locfit	1.5-9.12
otel	0.2.0
jsonlite	2.0.0
markdown	2.0
GetoptLong	1.1.1
